name,handedness,height,weight,avg,HR,BMI
Cecil Cooper,L,74,165,0.298,241,21.69466764
Bill Almon,R,75,180,0.254,36,23.04
Joe Ferguson,R,74,200,0.24,122,26.29656684
Jeff Jones,R,75,210,0,0,26.88
Jerry Terrell,R,71,165,0.253,4,23.56675263
John Poloni,L,77,210,0,0,25.50177096
Dave Revering,L,76,210,0.265,62,26.17728532
Curt Ford,L,70,150,0.245,7,22.04081633
Jerry Dybzinski,R,74,180,0.234,3,23.66691015
Mike Willis,L,74,205,0,0,26.95398101
Bob Burda,L,71,174,0.224,13,24.85221186
Jesse Gonder,L,70,180,0.251,26,26.44897959
Gary Sutherland,R,72,185,0.243,24,25.69444444
Bob Coluccio,R,71,183,0.22,26,26.1376711
Dave Rader,L,71,165,0.257,30,23.56675263
Ron Gardenhire,R,72,175,0.232,4,24.30555556
Bill Sharp,L,70,178,0.255,9,26.15510204
Alan Bannister,R,71,170,0.27,19,24.28089665
Bob Watson,R,72,201,0.295,184,27.91666667
Ken Harrelson,R,74,190,0.239,131,24.9817385
Bobby Wine,R,73,187,0.215,30,25.26552824
Stefan Wever,R,80,245,0,0,27.5625
John Kennedy,R,72,185,0.225,32,25.69444444
Chico Ruiz,B,72,169,0.24,2,23.47222222
Dave Johnson,R,73,183,0,0,24.72508913
Gail Hopkins,L,70,198,0.266,25,29.09387755
Doug Frobel,L,76,196,0.201,20,24.43213296
Luis Melendez,R,72,165,0.248,9,22.91666667
Jerry Augustine,L,72,183,0,0,25.41666667
Bill Plummer,R,73,190,0.188,14,25.67085757
Buck Rodgers,B,74,190,0.232,31,24.9817385
Phil Niekro,R,73,180,0.169,7,24.3197598
Jeff Holly,L,77,210,0,0,25.50177096
Tom Poquette,L,70,175,0.268,10,25.71428571
Eric Hetzel,R,75,175,0,0,22.4
Brian Asselstine,L,73,175,0.254,12,23.64421092
Rick Miller,L,72,175,0.269,28,24.30555556
Ed Charles,R,70,170,0.263,86,24.97959184
Luis Gomez,R,69,150,0.21,0,22.68431002
Dave Lemanczyk,R,76,235,0,0,29.29362881
Al Jones,R,76,210,0,0,26.17728532
Floyd Rayford,R,70,190,0.244,38,27.91836735
Sam Hinds,R,78,215,0,0,25.44378698
Tony Conigliaro,R,75,185,0.264,166,23.68
Clay Christiansen,R,77,205,0,0,24.89458593
Jim Barr,R,75,205,0.162,1,26.24
Jerry Remy,L,69,165,0.275,7,24.95274102
Larry Rothschild,L,74,180,0,0,23.66691015
Frank Duffy,R,73,180,0.232,26,24.3197598
Gary Lance,B,75,195,0,0,24.96
Tom O'Malley,L,72,180,0.256,13,25
Phil Garner,R,70,175,0.26,109,25.71428571
Larry Pashnick,R,75,205,0,0,26.24
Todd Fischer,R,70,170,0,0,24.97959184
